work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd_log
2024,MI,FT,Software Engineer,USD,US,0,US,M,12.19904803059321
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.454236468621549
2024,EN,FT,Research Analyst,USD,US,0,US,M,11.827736204810263
2024,EN,FT,Research Analyst,USD,US,0,US,M,11.008744383922906
2024,MI,FT,Software Engineer,USD,US,0,US,M,12.27606501735021
2024,MI,FT,Engineer,USD,US,0,US,M,11.652687407345388
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.233211562167625
2024,SE,FT,Research Analyst,USD,US,0,US,M,11.944707881395766
2024,SE,FT,Research Analyst,USD,US,0,US,M,11.122841458900366
2024,SE,FT,Solution Architect,USD,US,0,US,M,11.684186074404758
2024,SE,FT,Solution Architect,USD,US,0,US,M,11.43595802381362
2024,EX,FT,Business Intelligence,USD,US,0,US,M,11.77528972943772
2024,SE,FT,Consultant,USD,US,0,US,M,12.025749091398891
2024,SE,FT,Consultant,USD,US,0,US,M,11.184421397998193
2024,EX,FT,Analyst,USD,US,100,US,M,12.100712129872347
2024,EX,FT,Analyst,USD,US,100,US,M,11.877568578558138
2024,MI,FT,Engineer,USD,US,0,US,M,12.424002629791495
2024,MI,FT,Engineer,USD,US,0,US,M,11.822613617684624
2024,SE,FT,Engineer,USD,US,0,US,M,12.259613412458204
2024,SE,FT,Business Analyst,USD,US,0,US,M,12.297739834055998
2024,SE,FT,Business Analyst,USD,US,0,US,M,11.550221249713925
2024,MI,FT,Data Developer,CAD,CA,0,CA,M,11.345866834842186
2024,MI,FT,Data Developer,CAD,CA,0,CA,M,11.250560200502237
2024,SE,FT,Data Engineer,USD,NZ,0,NZ,M,11.790557201568507
2024,SE,FT,Data Engineer,USD,NZ,0,NZ,M,11.628038272070732
2024,MI,FT,Data Scientist,USD,US,0,US,M,11.990401109054664
2024,MI,FT,Data Scientist,USD,US,0,US,M,10.915088464214607
2024,MI,FT,Platform Engineer,USD,US,0,US,M,12.450977688625896
2024,MI,FT,Platform Engineer,USD,US,0,US,M,11.617285480294472
2024,EN,FT,Analyst,USD,US,100,US,M,11.407564949312402
2024,EN,FT,Analyst,USD,US,100,US,M,11.225243392518447
2024,SE,FT,AI Architect,USD,US,0,US,M,12.515026853257494
2024,SE,FT,AI Architect,USD,US,0,US,M,11.955043890726428
2024,SE,FT,Analyst,USD,US,100,US,M,11.611865412825132
2024,SE,FT,Analyst,USD,US,100,US,M,11.127262984158243
2024,MI,FT,Associate,USD,US,0,US,M,12.072541252905651
2024,MI,FT,Machine Learning Engineer,USD,US,0,US,M,12.621488084491506
2024,MI,FT,Machine Learning Engineer,USD,US,0,US,M,12.05524975579559
2024,MI,FT,Machine Learning Engineer,USD,US,0,US,M,12.437184366493561
2024,MI,FT,Machine Learning Engineer,USD,US,0,US,M,11.870599909242044
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.090942338276543
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,11.429543856031177
2024,SE,FT,Analyst,USD,US,0,US,M,11.782341728615117
2024,SE,FT,Analyst,USD,US,0,US,M,11.376876620506952
2024,SE,FT,Data Scientist,USD,US,100,US,M,12.301382825334498
2024,SE,FT,Data Scientist,USD,US,100,US,M,11.820410164718188
2024,EN,FT,Data Scientist,USD,US,0,US,M,11.487864034374857
2024,EN,FT,Data Scientist,USD,US,0,US,M,10.895812970686281
2024,MI,FT,Software Engineer,USD,US,100,US,M,11.914804149542972
2024,MI,FT,Software Engineer,USD,US,100,US,M,11.037885173007027
2024,MI,FT,Research Scientist,USD,US,100,US,M,11.67419361256635
2024,MI,FT,Research Scientist,USD,US,100,US,M,11.082142548877775
